,EV/EBIT,Op. In./(NWC+FA),P/E,P/B,P/S,Op. In./Interest Expense,Working Capital Ratio,RoE,ROCE,Debt/Equity,Debt Ratio,Cash Ratio,Asset Turnover,Gross Profit Margin,Perf
2183,192.3557838,0.123792192,276.2617341,27.73031682,9.058561764,-200,2.943442341,0.100376974,0.125489261,0.550088064,2.817890746,2.555938038,15.50399061,0.951675827,0.415878378
2966,73.26604839,0.686893876,68.89855959,24.5462852,2.485614035,6.053724054,1.044846917,0.35626703,0.038298201,14.97547684,1.066775837,0.200733075,6.810366427,0.598537628,-0.406946265
8219,35.44175498,0.203776509,56.41457363,5.236940677,6.895679664,-77.5,8.13735348,0.092829571,0.133334823,0.120087248,9.327278825,3.989639464,5.802244607,0.471489937,0.682054086
10898,18.85689639,0.152473911,49.51852575,2.901063197,3.043822487,2.899477545,0.118355485,0.058585411,0.102415423,2.028579772,1.492955719,0.077743322,0.341774368,0.543514783,-0.100694444
2666,-4.638814567,-0.113787103,-2.771787788,0.488433763,0.642941428,-3.282576597,1.499739302,-0.176216146,0,0.761142913,2.313813717,0.878848992,0.930014566,0.289602721,0.753424658
8464,-3.735919078,-0.877251361,-4.771715763,4.291702919,2.105104066,111.5468208,1.8058912,-0.899404561,0,0.978661858,2.021803386,1.515490328,6.72284679,0.375448004,0.085778781
2457,-0.220862197,0.142761837,1.912892517,0.161284974,0.228403899,29.58029839,5.371136485,0.084314708,0.112004716,0.151852055,7.585357048,1.64184005,5.900281027,0.394737837,-0.192088853
3405,5.894615385,-0.018798231,0.130736865,0.003896976,0.004615663,800,1.351945655,0.02980778,0.019738741,0.719064762,2.390695321,0.444967998,0.689637784,0.285857225,0.294502159
12861,-9.21360684,0.267047817,-8.46412,1.979418217,3.285267191,14.31197772,2.097957046,-0.233859895,0,0.565277086,2.769043933,0.335882661,4.558675799,0.548029248,-0.141458297
3289,-2.817065123,-1.685594254,-3.602079859,8.019768646,500,92.13333333,2.871963563,-2.22642722,0,1.22210718,1.818258837,2.645748988,0,0,-0.804580153
2797,4.990837214,0.145794513,13.20872332,1.425357243,1.464462808,15.8988989,7.527457655,0.107910296,0.128109506,0.490048953,3.040612463,5.817420906,22.9889256,0.39362225,0.029829029
6911,7.080258315,1.057037612,2.640555871,-3.332809708,0.222164848,1.726902842,0.908189345,-1.262162162,0.161507244,0,0.940719766,0.082337277,5.891549692,0.639062055,0
11474,36.68783082,0.617059891,54.73306195,10.995264,9.927505618,37.77777778,1.934383202,0.200888889,0.211231653,0.731555556,2.366950182,1.477690289,6.38974359,0.967897271,-0.233616219
